,username,location,following,followers,totaltweets,retweets,text,hashtags,time
68,DonnaCiraFood88,London,102,157,45830,3,4/5: Vaccines ‘surest way to prevent deaths’ as Covid-19 toll hits 4 million https://t.co/IgC5kPjpQi,[],2021-07-08 23:57:27
69,steveinburnaby,"Burnaby, British Columbia",461,405,11409,0,"Well I knew we would have to take a Booster Shot.

With all the idiots that are acting as Petrie Dishes combined with the way the vaccines were rolled out, we will need booster shots to make us safer.

https://t.co/sPXml6i1xx",[],2021-07-08 23:56:50
70,d_lanval,"Paris, New Orleans, Mykonos",2411,1723,1002,7,"We need everyone to do their part and get fully vaccinated! It is free and safe and can help save the lives of you or a loved one! Both doses are essential to help stop the spread. Find a location to receive your vaccine at 
https://t.co/4ZDNifJJKm https://t.co/rgCgB5rV16",[],2021-07-08 23:53:28
71,PenaMinang,"Kuala Lumpur, Malaysia ",1130,3890,168632,13,"""The fifth #coronavirus peak in #Iran; Tehran has registered as the red zone; south is going to be black zone; what is the outcome for producing seven different domestic vaccines?"" state-run media titled blaming officials for mismanaging #COVID19 crisis.
https://t.co/rsN9mlH6gR","['coronavirus', 'Iran']",2021-07-08 23:53:26
72,duzBme,Dublin,5181,5410,22905,4,"Claire Byrne #TodayCB having a great laugh with Prof Luke O’Neill that she took two experimental vaccines even after she had #COVID and recovered. Claire is more at risk being abducted by aliens then catching coronavirus twice.
#DoTheMaths #TCOIMH 

https://t.co/MscRSwgIj7",['TodayCB'],2021-07-08 23:53:23
73,IranNewsUpdate1,"Washington, DC",200,16912,29174,13,"""The fifth #coronavirus peak in #Iran; Tehran has registered as the red zone; south is going to be black zone; what is the outcome for producing seven different domestic vaccines?"" state-run media titled blaming officials for mismanaging #COVID19 crisis.
https://t.co/rsN9mlH6gR","['coronavirus', 'Iran', 'COVID19']",2021-07-08 23:53:00
74,jacobbrody,"New York, NY",3528,4022,9247,1,"""Africa has just had its “worst pandemic week ever,” the @WHO said on Thursday. The continent is short of vaccines, &amp; the virus is sickening its young people &amp; overwhelming its already fragile health care systems."" 💔 @nytimes 
https://t.co/2WDZymcGRJ https://t.co/eTbaGOIvTS",[],2021-07-08 23:52:49
75,palmbeachpink,by the sea.....,935,484,21383,0,"@awfulsexadvice @TheBeach2018 @Sgjenks825 @mrainie24 @Fly_Sistah @kylegriffin1 yes, eggs - know a few allergic to shellfish and they get flu vax just fine - J+J is different than mRNA but it does NOT contain eggs either per CDC https://t.co/eFPDfuR9E1",[],2021-07-08 23:52:31
76,HiPeoplebiz,Italia,4282,1197,833310,1,#coronavirus #covid19 #covid #vaccines #lockdown Coronavirus vaccine rollout is in General JJ Frewen's hands — but Scott Morrison needs to find more doses - ABC News https://t.co/NaYLct5am4,"['coronavirus', 'covid19', 'covid', 'vaccines', 'lockdown']",2021-07-08 23:52:12
77,elbeldner,London / San Francisco,277,1458,1252,0,"Pfizer has done an absolutely incredible job of rolling study after study of the vaccines. I’d love to read a book or 3 about Pfizer during Covid.

https://t.co/pWZYngHuBz",[],2021-07-08 23:51:24
