,username,retweets,likes,text,hashtags,time
115,WhiteHouse,1603,10731,"Update: From 3 AM ET on 8/27 to 3 AM ET on 8/28, a total of approximately 6,800 people were evacuated from Kabul. 32 US military flights carried approximately 4,000 evacuees, and 34 coalition flights carried 2,800 people.",[],2021-08-28 14:22:16
116,WhiteHouse,731,4112,"Since August 14, the U.S. has evacuated and facilitated the evacuation of approximately 109,200 people. Since the end of July, we have re-located approximately 114,800 people.",[],2021-08-27 22:40:06
117,WhiteHouse,991,6183,"From 3 AM ET to 3 PM ET on August 27, a total of approximately 4,200 people were evacuated from Kabul. 12 US military flights carried approximately 2,100 evacuees, and 29 coalition flights carried approximately 2,100 people.",[],2021-08-27 22:40:05
118,WhiteHouse,352,1681,Tune in for a briefing with Press Secretary Jen Psaki. https://t.co/j1p7KEwmZo,[],2021-08-27 17:54:09
119,WhiteHouse,1662,8803,"Since August 14, the U.S. has evacuated and facilitated the evacuation of approximately 105,000 people. Since the end of July, we have re-located approximately 110,600 people.",[],2021-08-27 13:01:43
120,WhiteHouse,2412,13869,"Update: From 3 AM ET on 8/26 to 3 AM ET on 8/27 a total of approximately 12,500 people were evacuated from Kabul. 35 US military flights carried approximately 8,500 evacuees, and 54 coalition flights carried approximately 4,000 people.",[],2021-08-27 13:01:43
121,WhiteHouse,594,3081,Tune in for a briefing with Press Secretary Jen Psaki. https://t.co/tTGBi6vT5r,[],2021-08-26 22:07:30
122,WhiteHouse,758,2827,"Happening Now: President Biden delivers remarks on the terror attack at Hamid Karzai International Airport, and the U.S. service members and Afghan victims killed and wounded. https://t.co/cYjfucz0Fl",[],2021-08-26 21:24:03
123,WhiteHouse,1526,7349,"Since August 14, the U.S. has evacuated and facilitated the evacuation of approximately 95,700 people. Since the end of July, we have re-located approximately 101,300 people.",[],2021-08-26 12:27:33
124,WhiteHouse,1462,8929,"Update: From 3 AM ET on 8/25 to 3AM ET on 8/26, a total of approximately 13,400 people were evacuated from Afghanistan. 17 U.S. military flights evacuated approximately 5,100 people and 74 coalition aircraft evacuated approximately 8,300 people from Kabul.",[],2021-08-26 12:27:32
125,WhiteHouse,421,3109,Our Administration is continuing our efforts to get SIVs and other vulnerable Afghans out as quickly as possible through one of the biggest airlifts in human history. We will continue to provide updates on our progress in the coming days.,[],2021-08-26 00:30:37
126,WhiteHouse,496,3171,"At the President's direction, our Administration surged resources, restarted interviews, reduced the processing time by 50%, and processed the most visas in the program’s history in the months before Kabul fell.",[],2021-08-26 00:30:37
127,WhiteHouse,301,1245,"Special Immigrant Visas (SIVs) are visas for Afghans (and their families) who have worked alongside the U.S. and played invaluable roles, such as translators and interpreters. When President Biden took office, no SIV interviews had taken place in Kabul since March 2020.",[],2021-08-26 00:30:36
