Date,CountryName_x,CountryCode_x,Jurisdiction,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,ConfirmedCases,ConfirmedDeaths,Daily_cases,like_index,retweet_index,V1_Vaccine Prioritisation (summary),V2_Vaccine Availability (summary),V3_Vaccine Financial Support (summary),Daily_cases_previous,Daily_cases_next
12/4/2021,Brazil,BRA,NAT_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553893759.6428572,0.0,0.0,0.0,0.0,-67311253.37857142,0.0,0.0,0.0,0.0,13517808,354617,-3451.4285714285797,2227.530303,458.6515152,0.0,0.0,0.0,68578.14285714286,72029.57142857143
13/4/2021,Brazil,BRA,NAT_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553893759.6428572,0.0,0.0,0.0,0.0,-67311253.37857142,0.0,0.0,0.0,0.0,13599994,358425,-4023.71428571429,2227.530303,458.6515152,0.0,0.0,0.0,67321.14285714286,71344.85714285714
14/4/2021,Brazil,BRA,NAT_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553893759.6428572,0.0,0.0,0.0,0.0,67311253.37857142,0.0,0.0,0.0,0.0,13673507,361884,-2215.2857142857247,3150.484848,748.8939394,0.0,0.0,0.0,66399.28571428571,68614.57142857143
15/4/2021,Brazil,BRA,NAT_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67311253.37857142,0.0,0.0,0.0,0.0,13746681,365444,-3252.28571428571,3150.484848,748.8939394,0.0,0.0,0.0,63436.857142857145,66689.14285714286
16/4/2021,Brazil,BRA,NAT_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67311253.37857142,0.0,0.0,0.0,0.0,13832455,368749,-3904.1428571428623,3150.484848,748.8939394,0.0,0.0,0.0,61707.42857142857,65611.57142857143
17/4/2021,Brazil,BRA,NAT_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32834614.871428564,0.0,0.0,0.0,0.0,13900091,371678,-3354.3571428571377,3150.484848,748.8939394,0.0,0.0,0.0,61657.78571428572,65012.142857142855
18/4/2021,Brazil,BRA,NAT_TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32834614.871428564,0.0,0.0,0.0,0.0,13943071,373335,-4523.714285714283,3150.484848,748.8939394,0.0,0.0,0.0,61340.28571428572,65864.0
19/4/2021,Brazil,BRA,NAT_TOTAL,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32834614.871428564,0.0,0.0,0.0,0.0,13973695,374682,-4297.0714285714275,3150.484848,748.8939394,0.0,0.0,0.0,60829.642857142855,65126.71428571428
20/4/2021,Brazil,BRA,NAT_TOTAL,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32834614.871428564,0.0,0.0,0.0,0.0,14043076,378003,-3185.357142857145,3150.484848,748.8939394,0.0,0.0,0.0,60112.07142857143,63297.42857142857
21/4/2021,Brazil,BRA,NAT_TOTAL,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32834614.871428564,0.0,0.0,0.0,0.0,14122795,381475,-3628.142857142855,2176.25641,535.6153846,0.0,0.0,0.0,60555.857142857145,64184.0
22/4/2021,Brazil,BRA,NAT_TOTAL,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32834614.871428564,0.0,0.0,0.0,0.0,14167973,383502,100.92857142857247,2176.25641,535.6153846,0.0,0.0,0.0,60285.5,60184.57142857143
